"name" "id"
"path:hsa00010" "Glycolysis / Gluconeogenesis " "00010"
"path:hsa00020" "Citrate cycle (TCA cycle) " "00020"
"path:hsa00030" "Pentose phosphate pathway " "00030"
"path:hsa00040" "Pentose and glucuronate interconversions " "00040"
"path:hsa00051" "Fructose and mannose metabolism " "00051"
"path:hsa00052" "Galactose metabolism " "00052"
"path:hsa00053" "Ascorbate and aldarate metabolism " "00053"
"path:hsa00061" "Fatty acid biosynthesis " "00061"
"path:hsa00062" "Fatty acid elongation " "00062"
"path:hsa00071" "Fatty acid degradation " "00071"
"path:hsa00100" "Steroid biosynthesis " "00100"
"path:hsa00120" "Primary bile acid biosynthesis " "00120"
"path:hsa00130" "Ubiquinone and other terpenoid" "00130"
"path:hsa00140" "Steroid hormone biosynthesis " "00140"
"path:hsa00190" "Oxidative phosphorylation " "00190"
"path:hsa00220" "Arginine biosynthesis " "00220"
"path:hsa00230" "Purine metabolism " "00230"
"path:hsa00232" "Caffeine metabolism " "00232"
"path:hsa00240" "Pyrimidine metabolism " "00240"
"path:hsa00250" "Alanine, aspartate and glutamate metabolism " "00250"
"path:hsa00260" "Glycine, serine and threonine metabolism " "00260"
"path:hsa00270" "Cysteine and methionine metabolism " "00270"
"path:hsa00280" "Valine, leucine and isoleucine degradation " "00280"
"path:hsa00290" "Valine, leucine and isoleucine biosynthesis " "00290"
"path:hsa00310" "Lysine degradation " "00310"
"path:hsa00330" "Arginine and proline metabolism " "00330"
"path:hsa00340" "Histidine metabolism " "00340"
"path:hsa00350" "Tyrosine metabolism " "00350"
"path:hsa00360" "Phenylalanine metabolism " "00360"
"path:hsa00380" "Tryptophan metabolism " "00380"
"path:hsa00400" "Phenylalanine, tyrosine and tryptophan biosynthesis " "00400"
"path:hsa00410" "beta" "00410"
"path:hsa00430" "Taurine and hypotaurine metabolism " "00430"
"path:hsa00440" "Phosphonate and phosphinate metabolism " "00440"
"path:hsa00450" "Selenocompound metabolism " "00450"
"path:hsa00470" "D" "00470"
"path:hsa00480" "Glutathione metabolism " "00480"
"path:hsa00500" "Starch and sucrose metabolism " "00500"
"path:hsa00510" "N" "00510"
"path:hsa00511" "Other glycan degradation " "00511"
"path:hsa00512" "Mucin type O" "00512"
"path:hsa00513" "Various types of N" "00513"
"path:hsa00514" "Other types of O" "00514"
"path:hsa00515" "Mannose type O" "00515"
"path:hsa00520" "Amino sugar and nucleotide sugar metabolism " "00520"
"path:hsa00524" "Neomycin, kanamycin and gentamicin biosynthesis " "00524"
"path:hsa00531" "Glycosaminoglycan degradation " "00531"
"path:hsa00532" "Glycosaminoglycan biosynthesis " "00532"
"path:hsa00533" "Glycosaminoglycan biosynthesis " "00533"
"path:hsa00534" "Glycosaminoglycan biosynthesis " "00534"
"path:hsa00561" "Glycerolipid metabolism " "00561"
"path:hsa00562" "Inositol phosphate metabolism " "00562"
"path:hsa00563" "Glycosylphosphatidylinositol (GPI)" "00563"
"path:hsa00564" "Glycerophospholipid metabolism " "00564"
"path:hsa00565" "Ether lipid metabolism " "00565"
"path:hsa00590" "Arachidonic acid metabolism " "00590"
"path:hsa00591" "Linoleic acid metabolism " "00591"
"path:hsa00592" "alpha" "00592"
"path:hsa00600" "Sphingolipid metabolism " "00600"
"path:hsa00601" "Glycosphingolipid biosynthesis " "00601"
"path:hsa00603" "Glycosphingolipid biosynthesis " "00603"
"path:hsa00604" "Glycosphingolipid biosynthesis " "00604"
"path:hsa00620" "Pyruvate metabolism " "00620"
"path:hsa00630" "Glyoxylate and dicarboxylate metabolism " "00630"
"path:hsa00640" "Propanoate metabolism " "00640"
"path:hsa00650" "Butanoate metabolism " "00650"
"path:hsa00670" "One carbon pool by folate " "00670"
"path:hsa00730" "Thiamine metabolism " "00730"
"path:hsa00740" "Riboflavin metabolism " "00740"
"path:hsa00750" "Vitamin B6 metabolism " "00750"
"path:hsa00760" "Nicotinate and nicotinamide metabolism " "00760"
"path:hsa00770" "Pantothenate and CoA biosynthesis " "00770"
"path:hsa00780" "Biotin metabolism " "00780"
"path:hsa00785" "Lipoic acid metabolism " "00785"
"path:hsa00790" "Folate biosynthesis " "00790"
"path:hsa00830" "Retinol metabolism " "00830"
"path:hsa00860" "Porphyrin metabolism " "00860"
"path:hsa00900" "Terpenoid backbone biosynthesis " "00900"
"path:hsa00910" "Nitrogen metabolism " "00910"
"path:hsa00920" "Sulfur metabolism " "00920"
"path:hsa00970" "Aminoacyl" "00970"
"path:hsa00980" "Metabolism of xenobiotics by cytochrome P450 " "00980"
"path:hsa00982" "Drug metabolism " "00982"
"path:hsa00983" "Drug metabolism " "00983"
"path:hsa01040" "Biosynthesis of unsaturated fatty acids " "01040"
"path:hsa01100" "Metabolic pathways " "01100"
"path:hsa01200" "Carbon metabolism " "01200"
"path:hsa01210" "2" "01210"
"path:hsa01212" "Fatty acid metabolism " "01212"
"path:hsa01230" "Biosynthesis of amino acids " "01230"
"path:hsa01240" "Biosynthesis of cofactors " "01240"
"path:hsa01250" "Biosynthesis of nucleotide sugars " "01250"
"path:hsa01521" "EGFR tyrosine kinase inhibitor resistance " "01521"
"path:hsa01522" "Endocrine resistance " "01522"
"path:hsa01523" "Antifolate resistance " "01523"
"path:hsa01524" "Platinum drug resistance " "01524"
"path:hsa02010" "ABC transporters " "02010"
"path:hsa03008" "Ribosome biogenesis in eukaryotes " "03008"
"path:hsa03010" "Ribosome " "03010"
"path:hsa03013" "Nucleocytoplasmic transport " "03013"
